eta,paso,particula_id,x,y,vx,vy,theta,omega
2.0,4500,67,15.504226,5.991097,-0.993061,0.017542,3.04012,-0.079211
2.0,4500,68,4.82725,7.507037,-0.992528,-0.099146,-3.022868,-0.112494
2.0,4500,69,8.262647,5.769709,-0.981977,-0.026719,-3.106939,-0.323257
2.0,4500,70,4.965689,17.090832,-0.958398,-0.112952,-2.929509,-0.672711
2.0,4500,71,11.03109,5.649266,-0.970004,0.13977,2.997772,0.184212
2.0,4500,72,13.615883,7.906681,-0.978721,0.052052,2.790725,-0.155354
2.0,4500,73,10.297368,7.795239,-0.989102,0.089473,3.019138,-0.137043
2.0,4500,74,0.453248,1.281974,-0.996365,-0.021708,3.106072,-0.827501
2.0,4500,75,4.074576,11.42403,-0.973598,0.097011,2.942473,0.322625
2.0,4500,76,13.093985,12.101792,-0.975459,0.099671,2.777503,-0.292104
2.0,4500,77,13.9299,13.737206,-0.950289,-0.23419,-2.850473,-0.361427
2.0,4500,78,10.093858,13.885356,-0.98957,-0.014896,2.899195,-0.491952
2.0,4500,79,10.971976,0.022249,-0.95851,0.023302,-2.875466,-0.019454
2.0,4500,80,15.539571,5.656506,-0.9805,-0.001797,-2.874796,0.301843
2.0,4500,81,8.98059,9.623406,-0.990038,-0.042693,3.130436,0.010312
2.0,4500,82,18.480733,10.060754,-0.993428,0.078201,3.11815,0.104837
2.0,4500,83,12.446904,16.278217,-0.996793,-0.017072,3.05347,-0.159029
2.0,4500,84,4.165914,14.628981,-0.968352,0.052413,2.874151,0.041089
2.0,4500,85,4.82495,10.609119,-0.995185,-0.013075,3.02558,-0.844041
2.0,4500,86,12.565609,9.856138,-0.971288,0.131045,2.804591,-0.177362
2.0,4500,87,17.291719,11.87217,-0.996883,0.024918,3.10085,0.297659
2.0,4500,88,19.562388,9.603824,-0.98342,-0.023941,2.955211,-0.463448
2.0,4500,89,15.395583,7.568085,-0.967078,-0.133923,-2.708684,-0.265723
2.0,4500,90,10.377618,5.127057,-0.994095,0.039947,2.972975,0.041633
2.0,4500,91,11.094187,10.39347,-0.990334,-0.032235,2.97374,-0.383714
2.0,4500,92,8.567701,15.384603,-0.986738,-0.033912,2.897999,-0.406691
2.0,4500,93,14.987016,11.162079,-0.988511,0.088774,3.048221,-0.442971
2.0,4500,94,2.021455,12.416191,-0.990775,0.035304,3.044651,0.165372
2.0,4500,95,18.520379,10.477874,-0.985285,-0.114106,-3.008416,-0.358468
2.0,4500,96,6.233416,19.770738,-0.994005,-0.019639,3.077029,-0.199766
2.0,4500,97,14.619921,14.86333,-0.994791,0.078279,2.976261,-0.129895
2.0,4500,98,11.442051,4.192833,-0.974968,-0.159426,-2.870792,-0.474345
2.0,4500,99,12.497719,16.454038,-0.957861,-0.037074,-2.979596,-0.454658
2.0,4500,100,10.829827,9.652892,-0.970135,-0.10685,3.10686,-0.573522
2.0,4500,101,6.785934,4.58032,-0.97176,0.04795,-2.987984,0.862724
2.0,4500,102,0.590995,2.302921,-0.992738,0.044916,3.093891,-0.119085
2.0,4500,103,18.847372,11.751739,-0.975817,0.175787,2.775709,-0.200066
2.0,4500,104,17.221262,17.814229,-0.993815,0.082722,3.082048,0.170965
2.0,4500,105,18.067789,11.360648,-0.981483,0.03739,-2.915822,-0.290684
2.0,4500,106,12.836531,19.595702,-0.967604,0.105495,2.871811,0.213002
2.0,4500,107,16.553073,17.507282,-0.990282,0.115935,3.071367,0.157927
2.0,4500,108,5.015242,10.566303,-0.988181,-0.059145,-2.919506,-0.140944
2.0,4500,109,17.173834,10.746627,-0.980138,-0.089129,3.083478,-0.094695
2.0,4500,110,15.10018,17.674538,-0.994017,-0.019043,2.915406,-0.493636
2.0,4500,111,14.054199,16.974735,-0.978591,-0.102612,-3.09647,-0.795727
2.0,4500,112,5.816021,17.198348,-0.972556,-0.165552,-2.869125,-0.297929
2.0,4500,113,19.424472,8.395049,-0.989497,0.04792,3.029127,-0.800856
2.0,4500,114,4.854164,13.598329,-0.960655,-0.106641,2.819153,-0.740349
2.0,4500,115,6.691788,14.061088,-0.995398,0.015056,3.111533,-0.180069
2.0,4500,116,12.992498,15.995312,-0.983565,0.122624,-3.060979,0.505268
2.0,4500,117,16.459805,12.224579,-0.959456,0.178762,2.713165,0.074998
2.0,4500,118,4.785598,3.183174,-0.99079,-0.081232,3.139048,-0.166332
2.0,4500,119,13.095233,3.129766,-0.984068,-0.119298,-2.898026,-0.475886
2.0,4500,120,18.815317,1.816687,-0.993489,-0.043815,-3.077292,-0.517571
2.0,4500,121,15.843145,7.015783,-0.971986,-0.108738,3.02028,0.155606
2.0,4500,122,8.270709,19.704017,-0.998505,-0.026561,3.119032,-0.109823
2.0,4500,123,4.621174,13.418516,-0.978021,0.090597,2.694384,-0.327685
2.0,4500,124,2.705183,9.666825,-0.986279,0.004639,-2.94447,0.160659
2.0,4500,125,5.277809,6.772828,-0.99716,0.050473,3.135277,0.216332
2.0,4500,126,0.271371,3.903237,-0.971761,0.194855,3.016093,0.359905
2.0,4500,127,14.597966,3.453999,-0.975076,0.179352,-3.105901,0.579284
2.0,4500,128,13.768823,6.19145,-0.987876,-0.063182,3.124118,-0.424495
2.0,4500,129,4.515196,3.750916,-0.970952,-0.007347,-2.873363,-0.053202
2.0,4500,130,5.615186,14.197924,-0.923463,-0.276973,-2.900651,-1.11312
2.0,4500,131,10.491707,0.968631,-0.995515,0.046036,3.128586,-0.128133
2.0,4500,132,0.958485,16.266485,-0.988853,-0.05797,3.018232,-0.471336
2.0,4500,133,15.210487,3.854454,-0.959791,0.172376,2.704197,-0.216528
2.0,4500,134,3.290196,0.152046,-0.981304,0.084613,-2.992569,0.360041
2.0,4500,135,19.343519,4.11083,-0.989713,0.042551,3.058038,0.550262
2.0,4500,136,17.439575,9.265367,-0.987281,-0.105965,-2.920289,-0.015515
2.0,4500,137,2.06762,10.943731,-0.973076,0.063715,2.799909,0.132877
2.0,4500,138,16.227567,2.978548,-0.989256,0.056136,-3.070414,0.402329
2.0,4500,139,11.505279,8.987055,-0.977023,0.177826,2.977623,0.277194
2.0,4500,140,19.300471,2.282207,-0.967019,0.131183,2.712178,-0.075514
2.0,4500,141,10.751808,19.686529,-0.990791,-0.097769,-3.124861,-0.286619
2.0,4500,142,9.475584,0.957372,-0.967723,0.215094,3.133924,0.184207
2.0,4500,143,13.606807,0.226892,-0.973819,-0.154459,-2.987354,-0.871199
2.0,4500,144,13.780488,4.276802,-0.993992,0.021753,3.093165,-0.262969
2.0,4500,145,17.17531,5.955848,-0.965784,0.191225,-3.113803,0.866593
2.0,4500,146,11.414511,16.830548,-0.996635,-0.002226,-3.098225,-0.021759
2.0,4500,147,13.541842,18.635653,-0.905625,0.279653,2.761749,1.012298
2.0,4500,148,3.591103,15.101266,-0.986069,0.083983,2.983873,-0.120944
2.0,4500,149,10.182006,11.365493,-0.996805,-0.031515,3.015556,-0.394886
1.897368,4500,0,14.869646,1.62371,0.763319,-0.642291,-0.715309,0.228622
1.897368,4500,1,10.016202,13.248834,0.807575,-0.582676,-0.583825,-0.41715
1.897368,4500,2,12.630405,17.255525,0.757159,-0.650155,-0.770536,-0.416179
1.897368,4500,3,19.825086,0.143832,0.832705,-0.531218,-0.674546,-0.520081
1.897368,4500,4,2.818817,13.495003,0.778617,-0.614908,-0.574735,-0.53535
1.897368,4500,5,16.623918,8.743147,0.667166,-0.72461,-0.793829,0.496823
1.897368,4500,6,18.824883,5.404893,0.800845,-0.5909,-0.674433,0.087003
1.897368,4500,7,10.560992,15.114186,0.724146,-0.649115,-1.140745,-0.548605
1.897368,4500,8,15.826813,5.764605,0.660062,-0.745453,-0.782912,0.388283
1.897368,4500,9,18.556187,8.962046,0.800508,-0.586587,-0.863019,-0.427824
1.897368,4500,10,15.742986,1.521073,0.787468,-0.606428,-0.71713,-0.022961
1.897368,4500,11,5.757454,16.511663,0.800693,-0.582803,-0.758176,-0.403406
1.897368,4500,12,17.911156,3.963973,0.69995,-0.692661,-0.555985,0.464516
1.897368,4500,13,11.928827,13.945059,0.743958,-0.661658,-0.680091,0.395647
1.897368,4500,14,11.004528,14.748684,0.775902,-0.627161,-0.595442,0.249639
1.897368,4500,15,8.820185,12.558523,0.830172,-0.539592,-0.714087,-0.534003
1.897368,4500,16,7.063193,6.152416,0.637861,-0.739462,-0.851803,0.664045
