eta,paso,particula_id,x,y,theta
2.0,800,119,10.023486,12.411758,1.122602
2.0,800,120,18.209942,1.201406,0.851892
2.0,800,121,15.417478,4.277797,0.537839
2.0,800,122,8.434595,11.145205,1.294721
2.0,800,123,5.952067,1.700808,-0.267731
2.0,800,124,16.02089,4.975401,1.379085
2.0,800,125,11.195396,12.068796,-0.255089
2.0,800,126,16.376287,11.535141,0.214874
2.0,800,127,12.002544,5.112713,1.300232
2.0,800,128,11.959538,17.680871,1.106872
2.0,800,129,1.365083,3.169562,-0.17097
2.0,800,130,17.371365,8.29181,-0.126222
2.0,800,131,4.732614,19.739921,1.422578
2.0,800,132,10.135433,4.06277,-0.222673
2.0,800,133,17.11937,14.631524,0.101209
2.0,800,134,13.529152,1.048641,0.089979
2.0,800,135,16.823734,6.443041,1.327602
2.0,800,136,16.380359,9.573541,1.026933
2.0,800,137,15.351649,12.303904,1.439306
2.0,800,138,2.114985,7.313873,0.719315
2.0,800,139,12.887076,12.537361,-0.138696
2.0,800,140,8.499364,18.834044,0.062865
2.0,800,141,16.218372,0.862521,0.770829
2.0,800,142,14.806649,2.167623,-0.001332
2.0,800,143,18.069727,18.085133,-0.17902
2.0,800,144,5.467694,6.57741,0.309241
2.0,800,145,10.025622,8.374776,1.141719
2.0,800,146,18.694288,18.612596,0.463592
2.0,800,147,17.505317,11.810232,-0.185915
2.0,800,148,13.851876,9.53389,0.469882
2.0,800,149,17.210298,11.963161,1.140043
1.897368,800,0,0.428909,12.165346,-3.944824
1.897368,800,1,13.573888,8.005095,-2.42007
1.897368,800,2,2.903071,18.685183,-3.104682
1.897368,800,3,17.717873,5.454941,-2.463584
1.897368,800,4,18.064335,7.637987,-3.928534
1.897368,800,5,14.981947,14.254116,-2.712769
1.897368,800,6,12.508175,17.530996,-2.751379
1.897368,800,7,17.765562,17.750969,-2.301349
1.897368,800,8,1.43006,10.847001,-3.798906
1.897368,800,9,11.821214,11.946786,-3.860725
1.897368,800,10,17.144934,19.46839,-3.536317
1.897368,800,11,1.034243,10.811419,-3.107248
1.897368,800,12,16.530136,2.997754,-2.437733
1.897368,800,13,6.167805,15.900739,-2.471276
1.897368,800,14,12.223673,6.249402,-3.730482
1.897368,800,15,7.99901,9.961076,-3.90062
1.897368,800,16,9.422515,2.367809,-3.501055
1.897368,800,17,16.581988,10.008414,-2.180324
1.897368,800,18,16.372272,15.356927,-2.402531
1.897368,800,19,2.128717,15.511732,-2.463078
1.897368,800,20,13.858625,13.502974,-3.170509
1.897368,800,21,11.127005,15.278194,-2.295904
1.897368,800,22,10.46727,7.581041,-3.027982
1.897368,800,23,8.62451,5.447846,-2.785337
1.897368,800,24,12.740507,4.189717,-3.949705
1.897368,800,25,13.821628,18.205333,-3.323028
1.897368,800,26,9.871483,12.65726,-2.316164
1.897368,800,27,13.421907,6.473681,-3.196757
1.897368,800,28,5.389736,17.908448,-2.895917
1.897368,800,29,17.840577,14.927253,-2.368547
1.897368,800,30,8.987367,7.728517,-3.755177
1.897368,800,31,12.706565,18.623949,-2.78704
1.897368,800,32,10.405676,18.407043,-2.707336
1.897368,800,33,0.978883,8.673174,-2.210288
1.897368,800,34,5.39956,10.545915,-2.295767
1.897368,800,35,15.709251,16.499505,-3.809848
1.897368,800,36,16.283103,9.103386,-2.840123
1.897368,800,37,12.218558,13.565951,-3.967725
1.897368,800,38,11.497914,14.486616,-2.440799
1.897368,800,39,4.942686,4.85661,-2.522573
1.897368,800,40,14.180918,12.947294,-3.501104
1.897368,800,41,6.688632,16.314925,-2.789145
1.897368,800,42,13.260475,2.212604,-3.191007
1.897368,800,43,5.514451,6.515774,-2.166996
1.897368,800,44,10.96569,4.800052,-2.627731
1.897368,800,45,16.14599,19.825944,-2.765225
1.897368,800,46,15.576266,5.672916,-2.651132
1.897368,800,47,11.455343,7.119145,-2.426887
1.897368,800,48,7.594751,14.632183,-3.309252
1.897368,800,49,10.949599,5.385617,-3.702312
1.897368,800,50,17.489977,6.483107,-2.70093
1.897368,800,51,16.849663,17.082084,-3.120018
1.897368,800,52,13.591244,0.41656,-2.878082
1.897368,800,53,8.105652,16.10631,-2.313428
1.897368,800,54,17.724396,9.382162,-3.916954
1.897368,800,55,4.367313,6.149639,-2.475487
1.897368,800,56,19.567708,10.094297,-2.301027
1.897368,800,57,5.367254,19.079453,-3.931686
1.897368,800,58,7.831603,9.318698,-3.016053
1.897368,800,59,8.353958,16.931085,-2.722808
1.897368,800,60,9.707207,5.120727,-2.443295
1.897368,800,61,12.728691,19.443933,-3.313262
1.897368,800,62,8.616532,1.173364,-3.154676
1.897368,800,63,12.647755,6.731566,-3.508199
1.897368,800,64,5.504979,11.57084,-3.955097
1.897368,800,65,1.254367,15.406823,-3.402414
1.897368,800,66,15.574065,5.814529,-3.784567
1.897368,800,67,5.626368,7.42855,-3.677079
1.897368,800,68,5.285063,15.548737,-2.24415
1.897368,800,69,5.578228,6.547855,-2.28087
1.897368,800,70,14.443728,14.561049,-3.214858
1.897368,800,71,2.815375,12.625516,-2.30628
1.897368,800,72,11.058854,15.976702,-4.025721
1.897368,800,73,3.277731,0.564575,-2.662973
1.897368,800,74,14.821939,8.038056,-2.349214
1.897368,800,75,13.469563,5.01219,-2.934306
1.897368,800,76,12.703565,14.615765,-2.688954
1.897368,800,77,1.051729,14.6813,-3.510095
1.897368,800,78,7.311105,2.877567,-3.294696
1.897368,800,79,9.755493,3.421916,-3.740985
1.897368,800,80,2.364359,8.571612,-3.849003
1.897368,800,81,2.136242,0.290413,-2.759521
1.897368,800,82,3.221878,5.450774,-2.516842
1.897368,800,83,13.604301,1.666453,-3.603935
1.897368,800,84,13.97953,0.056547,-3.175222
1.897368,800,85,14.688756,10.335156,-3.065721
1.897368,800,86,5.55822,14.160947,-3.382637
1.897368,800,87,9.973038,15.521062,-2.719304
1.897368,800,88,0.876705,3.45802,-3.232266
1.897368,800,89,8.134826,6.36685,-2.368829
1.897368,800,90,12.622621,10.498436,-2.87389
1.897368,800,91,6.969113,16.641592,-2.496995
1.897368,800,92,14.798562,6.979597,-2.162946
1.897368,800,93,17.36417,9.932651,-2.352154
1.897368,800,94,16.665269,17.627677,-2.832525
1.897368,800,95,9.808177,1.99288,-2.261396
1.897368,800,96,5.411665,0.024953,-3.575556
1.897368,800,97,2.499901,11.271764,-2.913219
1.897368,800,98,18.982693,18.290127,-3.157491
1.897368,800,99,14.552572,13.812998,-3.183117
1.897368,800,100,9.846553,10.288126,-3.433629
1.897368,800,101,5.389108,1.477371,-3.427295
1.897368,800,102,2.714152,15.770022,-2.679553
1.897368,800,103,16.842222,19.875219,-3.611346
1.897368,800,104,11.668546,7.923741,-2.333726
1.897368,800,105,14.852507,1.077782,-2.660037
1.897368,800,106,3.671613,16.047407,-3.199542
1.897368,800,107,19.338052,13.875554,-2.998825
1.897368,800,108,6.607046,5.607266,-4.025282
1.897368,800,109,5.535631,5.534117,-3.437363
1.897368,800,110,2.089815,0.539494,-3.710392
1.897368,800,111,19.124602,11.775993,-2.486639
1.897368,800,112,14.813177,10.504993,-3.28761
1.897368,800,113,3.616608,4.787478,-3.153384
1.897368,800,114,2.345134,10.115667,-2.953435
1.897368,800,115,11.62266,3.549131,-2.886106
1.897368,800,116,4.483836,11.818095,-3.211755
1.897368,800,117,3.297442,0.301909,-3.817518
1.897368,800,118,8.353406,13.376126,-2.754214
1.897368,800,119,12.447254,11.846618,-3.6893
1.897368,800,120,3.814169,1.008208,-3.389902
1.897368,800,121,0.104049,6.070697,-2.429248
1.897368,800,122,14.321899,3.10582,-2.583882
1.897368,800,123,5.553781,14.161412,-3.522143
1.897368,800,124,13.544899,8.303149,-3.455249
1.897368,800,125,5.97208,10.153604,-2.396263
1.897368,800,126,15.971193,8.009125,-2.664745
1.897368,800,127,15.718616,14.586941,-3.839385
1.897368,800,128,19.992694,4.33572,-3.516462
1.897368,800,129,16.237473,15.200432,-2.51067
1.897368,800,130,16.755049,10.961304,-2.245066
1.897368,800,131,11.268637,6.107656,-2.529093
1.897368,800,132,11.620696,12.070855,-2.231266
1.897368,800,133,18.664109,10.53121,-3.851408
1.897368,800,134,1.363717,17.024883,-3.511796
1.897368,800,135,13.791468,0.324734,-2.753075
1.897368,800,136,14.13632,2.580268,-3.947404
1.897368,800,137,10.273469,19.490672,-3.939246
1.897368,800,138,2.413803,12.251564,-2.79541
1.897368,800,139,15.245997,18.731057,-3.040887
1.897368,800,140,19.556502,4.813378,-2.499173
1.897368,800,141,1.627669,17.409925,-3.084411
1.897368,800,142,3.988194,18.447075,-3.969651
1.897368,800,143,4.605169,2.873063,-2.754808
1.897368,800,144,4.53618,0.459907,-3.916305
1.897368,800,145,2.906947,7.255591,-3.390798
1.897368,800,146,19.099773,12.459594,-2.539494
1.897368,800,147,1.752769,15.986207,-3.680354
1.897368,800,148,5.245918,1.711987,-2.900954
1.897368,800,149,2.133811,10.819354,-2.33413
1.794737,800,0,0.240253,1.972856,0.085407
1.794737,800,1,19.601823,9.19876,-0.579078
1.794737,800,2,0.941212,8.44029,-0.737045
1.794737,800,3,9.558453,15.364797,-0.719526
1.794737,800,4,4.592412,11.056965,-1.363691
1.794737,800,5,17.452873,9.421129,-1.520616
1.794737,800,6,16.080178,7.600137,-0.195024
1.794737,800,7,17.132025,11.22342,-1.634269
1.794737,800,8,2.280569,8.441256,-0.276646
1.794737,800,9,0.640546,18.707761,-1.67085
1.794737,800,10,8.725913,11.681966,-1.608159
1.794737,800,11,10.478374,16.298619,-1.447849
1.794737,800,12,19.441226,12.989606,-0.594445
1.794737,800,13,15.445972,3.896602,-0.935828
1.794737,800,14,6.166651,11.224766,-0.099753
1.794737,800,15,7.256456,15.429425,-0.435929
1.794737,800,16,0.505938,0.667267,-0.656702
1.794737,800,17,9.221357,3.255948,-0.938469
1.794737,800,18,13.299474,7.463369,0.010729
