eta,paso,particula_id,x,y,vx,vy,theta,omega
2.0,4500,68,6.315313,7.63045,-1.378525,-0.150714,0.096331,0.103362
2.0,4500,69,10.017145,9.610575,-2.069575,-0.926091,-0.060547,0.155691
2.0,4500,70,7.674178,8.344412,-1.027857,0.449295,0.022355,0.107415
2.0,4500,71,4.801895,6.970641,-0.708792,0.179961,0.117677,0.034187
2.0,4500,72,4.83968,6.930611,2.714781,-1.322884,0.103564,-0.136926
2.0,4500,73,4.911918,7.972443,0.37765,1.513716,0.084135,-0.13632
2.0,4500,74,9.276116,8.195835,-1.808034,-2.153317,-0.044925,0.187051
2.0,4500,75,8.817566,7.587808,0.138285,0.170056,0.004263,0.226326
2.0,4500,76,8.587653,9.497942,2.114416,0.072809,0.008501,-0.073691
2.0,4500,77,4.626106,6.725479,4.370452,-0.891978,0.088069,-0.194741
2.0,4500,78,4.788698,5.603976,-0.833012,1.246737,0.131925,-0.220686
2.0,4500,79,5.537845,7.097377,-0.09912,2.860447,0.101427,-0.134612
2.0,4500,80,4.692921,7.110372,0.339558,0.212345,0.124317,-0.01323
2.0,4500,81,7.737441,7.704119,-0.975778,-1.992492,0.058866,0.148278
2.0,4500,82,4.614613,6.106349,0.567436,-4.024021,0.103716,0.169806
2.0,4500,83,5.383274,7.217892,2.626468,2.124406,0.075549,-0.180636
2.0,4500,84,4.836626,6.047382,-0.468026,-3.654554,0.061322,-0.164343
2.0,4500,85,10.046328,8.923703,-1.916054,-1.49548,-0.081987,-0.181839
2.0,4500,86,9.015018,9.49581,1.153798,-0.284674,0.003016,0.173923
2.0,4500,87,8.903769,8.539237,-1.14002,-1.389772,-0.039414,0.316476
2.0,4500,88,9.846054,9.245272,-1.94034,0.260135,-0.022005,0.013054
2.0,4500,89,3.560522,7.098965,1.365601,1.385356,0.083496,0.171626
2.0,4500,90,5.146175,6.896626,-1.874993,0.853599,0.100763,-0.151177
2.0,4500,91,4.20353,7.449161,1.414921,-3.866783,0.115164,-0.029755
2.0,4500,92,4.711749,6.706066,-0.542345,-3.384709,0.09428,-0.066771
2.0,4500,93,10.110733,9.289947,2.345859,1.180158,-0.075938,0.185816
2.0,4500,94,4.812053,7.391642,1.564116,-2.534764,0.132287,-0.036123
2.0,4500,95,9.058866,9.247291,0.575284,1.218797,-0.013422,0.054969
2.0,4500,96,4.09365,7.425618,5.52052,-0.967401,0.051246,-0.081313
2.0,4500,97,4.202839,6.735341,0.474992,1.424165,0.125072,0.11003
2.0,4500,98,6.031217,7.443508,-1.40093,-2.208507,0.038514,0.006851
2.0,4500,99,3.251373,7.377811,1.086152,-1.15903,0.132957,0.026501
2.0,4500,100,5.595197,6.664334,1.545688,-0.871931,0.086903,-0.003556
2.0,4500,101,3.468501,7.373634,-2.243337,-2.658301,0.057709,0.093509
2.0,4500,102,3.31835,7.558439,0.225192,0.417296,0.044929,-0.04196
2.0,4500,103,9.219757,8.959203,0.651439,0.814307,0.014597,-0.035357
2.0,4500,104,5.849783,7.905371,2.252356,0.241959,0.095117,0.209991
2.0,4500,105,4.71164,7.274189,-1.170159,1.666932,0.078151,0.092598
2.0,4500,106,4.161975,6.853604,-1.730306,-1.770061,0.068172,0.165488
2.0,4500,107,3.816656,7.066014,0.657928,-1.811394,0.177004,-0.151619
2.0,4500,108,5.902306,6.32329,-1.083378,-1.96943,0.051551,0.178244
2.0,4500,109,10.399559,9.309567,0.312744,-1.383148,-0.067522,0.178272
2.0,4500,110,9.551158,7.763613,0.840568,-0.116815,0.006485,0.006464
2.0,4500,111,4.033903,5.616325,1.98097,0.504948,0.125178,-0.194859
2.0,4500,112,8.857618,8.620484,-1.364076,1.442954,0.008989,-0.096353
2.0,4500,113,4.04411,7.088258,-1.682599,1.53173,0.149135,-0.148322
2.0,4500,114,5.208969,5.847152,-0.699854,3.292328,0.103957,0.029242
2.0,4500,115,5.058873,6.406182,-2.656853,-3.455665,0.109132,-0.141245
2.0,4500,116,5.008677,7.232474,0.70869,2.34534,0.08746,-0.040095
2.0,4500,117,4.649395,7.467532,-0.835165,2.003048,0.140561,-0.195261
2.0,4500,118,5.984786,5.786071,-1.011582,3.962567,0.171826,-0.238526
2.0,4500,119,3.511046,7.250698,-1.331514,2.667215,0.088256,-0.133236
2.0,4500,120,10.581157,8.59107,-1.026766,0.752274,-0.042876,0.204365
2.0,4500,121,9.068309,8.593093,-1.212752,0.433508,-0.035449,-0.105742
2.0,4500,122,5.232119,8.044463,2.990379,-0.52748,0.094608,0.049723
2.0,4500,123,4.728002,5.373482,1.687263,3.066527,0.087934,-0.001708
2.0,4500,124,4.950305,8.159334,-0.867335,0.509811,0.12725,-0.163207
2.0,4500,125,9.044938,8.954351,-0.326466,-2.197493,-0.043179,0.175672
2.0,4500,126,4.919655,7.842444,1.433688,-3.355806,0.109357,0.010364
2.0,4500,127,8.261435,8.588102,0.317658,0.430679,-0.007516,0.153247
2.0,4500,128,5.545705,5.997224,0.011745,0.219204,0.097741,0.052838
2.0,4500,129,6.162981,6.900616,1.801803,-1.520711,0.078106,-0.040274
2.0,4500,130,5.489896,6.360814,-2.271397,2.020715,0.067903,-0.007124
2.0,4500,131,4.342298,6.082839,3.761273,-2.015023,0.131639,-0.019827
2.0,4500,132,6.162741,6.513664,1.240602,1.453976,0.103841,-0.273551
2.0,4500,133,5.284588,7.441305,-0.225201,-4.377506,0.116371,-0.022474
2.0,4500,134,4.25541,7.535706,3.755275,0.825423,0.065868,-0.010795
2.0,4500,135,9.642298,9.007509,0.403068,-0.233726,-0.068806,0.020974
2.0,4500,136,4.605998,7.421497,1.161191,-1.07724,0.10641,-0.115845
2.0,4500,137,3.964541,5.798886,-0.692465,-0.731311,0.107092,-0.10516
2.0,4500,138,9.241111,10.591904,-1.681184,-1.379089,-0.07829,0.209757
2.0,4500,139,4.547467,6.73798,1.091032,-0.23941,0.10089,-0.058587
2.0,4500,140,5.087425,5.812382,0.191117,3.291404,0.076733,0.09619
2.0,4500,141,5.507128,7.133155,-2.094093,0.963084,0.060854,-0.130763
2.0,4500,142,9.700643,9.440524,0.548123,-1.054107,-0.068253,0.004263
2.0,4500,143,5.377949,6.753209,2.103336,-0.248405,0.120838,0.052685
2.0,4500,144,10.044959,10.095011,1.570256,-1.50311,-0.078048,-0.062231
2.0,4500,145,4.561101,6.260138,2.894273,-0.801498,0.145773,-0.149079
2.0,4500,146,4.81262,6.95616,3.676693,2.599644,0.057046,0.055911
2.0,4500,147,9.447761,9.864104,0.690724,0.216843,0.011944,0.130561
2.0,4500,148,9.248527,9.278347,2.263707,2.861531,-0.034769,-0.191088
2.0,4500,149,4.147223,7.837577,-0.294699,-0.249307,0.082747,0.197106
1.897368,4500,0,11.284767,8.716412,-2.030136,1.93866,-2.079888,0.147142
1.897368,4500,1,11.310864,8.181221,-0.406973,-4.267775,-2.089141,-0.022126
1.897368,4500,2,10.542989,6.798413,0.642826,-1.602927,-2.087471,0.080368
1.897368,4500,3,12.331332,8.181945,-2.897381,0.260335,-2.129834,-0.095823
1.897368,4500,4,12.405396,8.080314,-0.478271,-3.067664,-2.093447,-0.114748
1.897368,4500,5,11.951021,8.197736,-3.872584,1.257439,-2.080307,-0.055203
1.897368,4500,6,11.417293,8.312583,2.862429,1.395526,-2.137603,0.194908
1.897368,4500,7,12.458009,8.798379,-6.72592,-1.920739,-2.079153,0.181966
1.897368,4500,8,12.07921,8.050961,-0.678747,2.979938,-2.124913,0.049162
1.897368,4500,9,11.367844,9.527339,-2.43038,2.07706,-2.055008,-0.170817
1.897368,4500,10,11.559099,8.310153,-3.105628,2.332017,-2.075326,-0.197537
1.897368,4500,11,10.4814,9.457957,2.972223,-1.559332,-2.100224,0.233541
1.897368,4500,12,10.973527,8.984265,2.488699,-0.789531,-2.077651,0.07544
1.897368,4500,13,11.505769,8.100959,-0.435727,-4.489417,-2.101339,-0.199171
1.897368,4500,14,12.374676,8.235842,-3.939739,0.292161,-2.079422,-0.344049
1.897368,4500,15,11.389765,9.179182,-2.346273,3.584095,-2.127061,-0.115512
1.897368,4500,16,12.778339,9.440966,-1.710484,-2.200388,-2.024744,0.0383
1.897368,4500,17,11.917577,7.342776,3.848326,-0.332888,-2.073563,0.26761
1.897368,4500,18,11.648926,9.367272,-0.650312,-5.506796,-2.111854,-0.275561
1.897368,4500,19,9.94249,7.831792,-4.176463,-1.665246,-2.081331,0.130717
1.897368,4500,20,11.913949,8.030901,0.696072,-1.488218,-2.110514,0.129229
1.897368,4500,21,11.75393,6.848797,0.39767,-0.043955,-2.13353,-0.089436
1.897368,4500,22,12.203238,8.875309,-3.733729,0.558732,-2.092208,0.008579
1.897368,4500,23,11.515403,8.750132,0.384931,3.140906,-2.097119,-0.178604
1.897368,4500,24,10.376201,8.853941,3.201076,-3.404548,-2.055636,-0.020407
1.897368,4500,25,10.421959,9.612329,1.916963,1.068886,-2.125914,0.107786
1.897368,4500,26,12.580595,8.706099,2.024074,0.180236,-2.031315,0.234862
1.897368,4500,27,11.018641,7.951718,-1.755048,1.476281,-2.089183,-0.067816
1.897368,4500,28,10.93747,7.369161,4.119224,0.79077,-2.105241,0.244639
1.897368,4500,29,12.932789,7.842102,-0.953491,-0.915729,-2.064504,0.082116
1.897368,4500,30,11.430168,8.850998,-0.541831,-4.086917,-2.074745,-0.131315
1.897368,4500,31,10.863591,8.783029,4.921411,-0.312435,-2.098079,0.312476
1.897368,4500,32,11.216751,9.46777,-0.889602,-3.351786,-2.062086,0.053715
1.897368,4500,33,12.28787,8.363367,-4.142301,1.492509,-2.088086,0.096793
1.897368,4500,34,12.068895,6.819823,-2.245833,-1.452247,-2.066529,-0.260463
1.897368,4500,35,10.496437,9.365445,3.188294,-3.467582,-2.093189,0.341655
1.897368,4500,36,11.875608,8.429696,-3.606914,-1.361652,-2.112838,-0.157016
1.897368,4500,37,9.336281,7.87304,1.0898,-0.932172,-2.11893,0.159748
1.897368,4500,38,11.025047,8.405295,4.027204,5.939298,-2.046933,0.003333
1.897368,4500,39,11.426446,7.486288,-1.846435,-1.677296,-2.082607,0.032303
1.897368,4500,40,11.379116,7.780077,-5.681174,1.233259,-2.085443,-0.304283
1.897368,4500,41,11.37366,8.288383,-1.967421,-2.435695,-2.122967,0.049438
1.897368,4500,42,11.815172,9.099882,-5.518531,4.24273,-2.11342,0.083816
1.897368,4500,43,12.680003,8.844191,0.394441,-0.559723,-2.045059,-0.170759
1.897368,4500,44,11.732501,8.128052,-4.403363,2.7834,-2.035741,-0.03569
1.897368,4500,45,10.85517,8.835353,0.512421,-3.10073,-2.10097,0.007279
1.897368,4500,46,11.250894,7.396695,-1.590757,-0.885286,-2.093282,-0.031053
1.897368,4500,47,11.524544,7.930874,5.23242,0.580372,-2.077968,0.046878
1.897368,4500,48,10.281904,7.991076,4.479577,-0.751497,-2.05993,-0.357061
1.897368,4500,49,10.986735,9.321599,3.499832,-2.799409,-2.096845,0.049057
1.897368,4500,50,11.740329,8.433024,1.511479,0.477491,-2.095249,0.003277
1.897368,4500,51,12.44721,9.406348,-0.46739,0.005282,-2.063982,0.248252
1.897368,4500,52,11.568913,8.205733,-0.202491,4.141029,-2.111682,-0.124105
1.897368,4500,53,10.73244,8.118348,1.783943,-2.101,-2.050661,0.023151
1.897368,4500,54,10.813027,7.199988,1.709399,-2.290722,-2.116694,-0.296739
1.897368,4500,55,11.67423,8.103059,4.851723,-1.260669,-2.102875,-0.248743
1.897368,4500,56,10.69364,9.906891,-1.652947,-0.716285,-2.115713,0.050608
1.897368,4500,57,10.840908,8.821012,0.655443,-2.663645,-2.088485,-0.102359
1.897368,4500,58,11.037992,8.21143,2.351345,-1.186626,-2.09524,-0.098536
1.897368,4500,59,12.531876,8.709068,4.735176,-1.251572,-2.097135,0.275638
1.897368,4500,60,11.102119,7.773347,-7.102663,1.447053,-2.115083,-0.16457
1.897368,4500,61,11.1072,8.9288,-2.005063,1.017314,-2.119919,-0.059384
1.897368,4500,62,11.39073,6.774484,0.786598,-1.007092,-2.069606,0.090488
1.897368,4500,63,10.880422,8.641178,-5.413077,1.687053,-2.09141,-0.088674
1.897368,4500,64,10.980408,8.307536,-3.767395,1.157364,-2.105389,-0.127697
1.897368,4500,65,11.259286,8.335569,5.312862,-1.473119,-2.103286,-0.032921
1.897368,4500,66,11.795146,8.558489,0.101897,-2.715412,-2.121661,0.347418
1.897368,4500,67,11.371928,8.449885,-5.375731,3.941427,-2.088595,-0.012657
1.897368,4500,68,10.820111,6.973267,1.974734,-5.707005,-2.120623,0.069034
1.897368,4500,69,12.005928,9.201526,0.344846,-3.351253,-2.057271,-0.042947
1.897368,4500,70,10.430431,8.438952,-1.331227,-0.280291,-2.074959,-0.1116
1.897368,4500,71,10.562621,7.446863,1.847732,-0.669834,-2.079866,0.059081
1.897368,4500,72,11.201767,8.074917,3.928456,-4.164851,-2.093989,0.107507
1.897368,4500,73,9.794241,8.705173,-1.422343,-0.152194,-2.078476,-0.015272
1.897368,4500,74,11.408911,9.101172,-1.603217,2.570805,-2.058981,0.023623
1.897368,4500,75,10.66259,8.299927,1.147506,-1.436644,-2.058118,0.082848
1.897368,4500,76,11.998354,7.219236,-1.663407,-0.965932,-2.131646,0.111522
1.897368,4500,77,12.616549,8.371981,-2.901725,1.130997,-2.090766,0.228917
1.897368,4500,78,11.637065,8.527923,-0.046918,-2.036289,-2.111897,0.055586
1.897368,4500,79,11.39399,7.361496,-0.052581,0.550445,-2.02106,0.111789
1.897368,4500,80,11.036814,8.262305,-2.804758,-1.052708,-2.105633,-0.177826
1.897368,4500,81,10.381571,8.345516,-0.611761,-1.565422,-2.082878,-0.010663
1.897368,4500,82,11.709802,8.07875,-1.27795,-2.492701,-2.076371,0.069983
1.897368,4500,83,11.592061,7.660179,-2.793673,-5.818587,-2.066318,-0.045126
